DOCNO,round_number,query_id,author_id,query,TEXT,QREL,KSREL,POS,DELTA,DELTA_2,DELTA_3
ROUND-1-193-DUMMY_1,1,193,DUMMY_1,dog clean bags,"You can purchase dog waste bags online. Are there any low cost options? There are plenty of low cost alternatives to dog waste bags. Dog owners could use old newspapers, spare plastic bags, nappy sacks, or use a pooper-scooper and throw waste directly into the dog waste bin. I have seen bins with a picture of a dog on them. What does this mean? dog The council is installing new bins which allow for both refuse and dog waste. So when you see this dog on a bin, it means you can put your doggy bag in it. The new multi-use bins will be dotted around Ashford and the town centre, making it easier for dog owners to clean up after their pets and help keep the borough looking clean.",1,3,4,0,0,0
ROUND-1-193-BOT,1,193,BOT,dog clean bags,"Dog waste bags are useally made of plastic, nylon or even Consumable material and used for cleaning after your dogs waste.  You can purchase dog waste bags online or at the nearest groccery store to your home.
If you wish to save money, there are plenty of  alternatives to dog waste bags. Dog owners could use old newspapers, spare plastic bags, nappy sacks, or use a pooper-scooper and throw waste directly into the dog waste bin. These bins with a dog picture on it in can be found in almost every dog's park.
So when you see this dog on a bin, it means you can put your doggy bag in it.
These bins that are spreaded in the dog's park, make it easier for dog owners to clean up after their pets and help keeping the environment cleaner.",3,1,2,0,0,0
ROUND-1-193-DUMMY_2,1,193,DUMMY_2,dog clean bags,"You can purchase dog waste bags online. Nonetheless, There are plenty of low cost alternatives to dog waste bags. Dog owners could use old newspapers, spare plastic bags, nappy sacks, or use a pooper-scooper and throw waste directly into the dog waste bin. The council is installing new bins which allow for both refuse and dog waste. So when you see this dog on a bin, it means you can put your doggy bag in it. The new multi-use bins will be dotted around Ashford and the town centre, making it easier for dog owners to clean up after their pets and help keep the borough looking clean.",0,3,3,0,0,0
ROUND-1-193-KP5G43,1,193,KP5G43,dog clean bags,"Cleaning up after your dog is one of the less pleasant parts of life as a pet owner, but it has to be done nevertheless. 
Pet Mountain's Dog Poop Cleaning Supplies store features top quality products at low, low prices from the most trusted names in sanitary dog care and cleanup, including Bags on Board, Nature's Miracle, PetZone and more. Dog Poop Pickup Bag Dispensers make it easy to carry your pickup bags with you wherever you go! And our huge selection of Dog Poop Pickup Bags has the bag you need to get that poop cleaned up quickly and cleanly. And of course, sometimes you just need a good old-fashioned Dog Poop Scoops or Rake. These ergonomic scoops and rakes are designed to make it extremely easy for you to remove waste from the lawn, sandbox, garden and more.",3,0,1,0,0,0
ROUND-1-193-CZFMFV,1,193,CZFMFV,dog clean bags,"Your Online Discount Dog Poop Cleanup Bags Store:
Pet Mountain carries thousands of quality pet products at low, low prices. Feel free to browse through any of our specialized stores to find the exact item you need!
Pet Mountain products are guaranteed to meet your satisfaction. We do everything we can to work with our manufacturers to ensure that you get the quality you expect, the service you deserve and the best prices in the industry. At Pet Mountain, we buy in bulk and develop programs with our network of suppliers that focus on giving you more for your money. Like you, we care about our pets. Its all about giving our dogs, cats, birds and other pets a good life!",3,3,5,0,0,0
ROUND-2-193-DUMMY_1,2,193,DUMMY_1,dog clean bags,"You can purchase dog waste bags online.But, are there any low cost options to replace the expansive dog waste bags? There are plenty of low cost alternatives to dog waste bags. Dog owners could use spare plastic bags, nappy sacks, or use a pooper-scooper and throw the dog waste directly into the dog waste bin. I have seen bins with a picture of a dog on them. What does this mean? The council is installing new bins which allow for both refuse and dog waste, so after your dog finished his doggy business, clean it and when you see this dog on a bin, it means you can put your doggy bag in it. The new multi-use bins will be dotted around Ashford and the town centre, making it easier for dog owners to clean up after their pets and help keep the borough looking clean.",1,3,2,2,0,0
ROUND-2-193-BOT,2,193,BOT,dog clean bags,"Dog waste bags are useally made of plastic, nylon or even Consumable material and used for cleaning after your dogs waste.  You can purchase dog waste bags online or at the nearest groccery store to your home.
If you wish to save money, there are plenty of  alternatives to dog waste bags. Dog owners could use old newspapers, spare plastic bags, nappy sacks, or use a pooper-scooper and throw waste directly into the dog waste bin. These bins with a dog picture on it in can be found in almost every dog's park.
And our huge selection of Dog Poop Pickup Bags has the bag you need to get that poop cleaned up quickly and cleanly.
These bins that are spreaded in the dog's park, make it easier for dog owners to clean up after their pets and help keeping the environment cleaner.",1,1,4,-2,0,0
ROUND-2-193-DUMMY_2,2,193,DUMMY_2,dog clean bags,"There are many options for purchasing dog waste bags online. However, if you are a dog owner and looking for a cheap alternative, you could use old newspapers, spare plastic bags, nappy sacks, or use a pooper-scooper and throw waste directly into the dog waste bins. The council is installing new bins which allow for both refuse and dog waste. So when you see a bin with a picture of a dog on it, it means you can put your doggy bag in it. The new multi-use bins will be dotted around Ashford and the town centre, making it easier for dog owners to clean up after their pets and help keep the borough looking clean.",3,3,3,0,0,0
ROUND-2-193-KP5G43,2,193,KP5G43,dog clean bags,"Cleaning up after your dog is one of the less pleasant parts of life as a pet owner, but it has to be done nevertheless. 
Pet Mountain's Dog Poop Cleaning Supplies store features top quality products at low, low prices from the most trusted names in sanitary dog care and cleanup, including Bags on Board, Nature's Miracle, PetZone and more. Dog Poop Pickup Bag Dispensers make it easy to carry your pickup bags with you wherever you go! And our huge selection of Dog Poop Pickup Bags has the bag you need to get that poop cleaned up quickly and cleanly. And of course, sometimes you just need a good old-fashioned Dog Poop Scoops or Rake. These ergonomic scoops and rakes are designed to make it extremely easy for you to remove waste from the lawn, sandbox, garden and more.",3,0,1,0,0,0
ROUND-2-193-CZFMFV,2,193,CZFMFV,dog clean bags,"Your Online Discount Dog Poop Cleanup Bags Store:
Pet Mountain carries thousands of quality pet products at low, low prices. Feel free to browse through any of our specialized stores to find the exact item you need!
Pet Mountain products are guaranteed to meet your satisfaction. We do everything we can to work with our manufacturers to ensure that you get the quality you expect, the service you deserve and the best prices in the industry. At Pet Mountain, we buy in bulk and develop programs with our network of suppliers that focus on giving you more for your money. Like you, we care about our pets. Its all about giving our dogs, cats, birds and other pets a good life!",3,3,5,0,0,0
